Battery Age,Daily Usage Hours,Gaming User,Design Capacity,Cycle Count,CPU Usage,GPU Usage,Power Consumption,Average Temperature,Full Charge Capacity,Battery Health
5,9.797617008903616,0,57884,1267,64.58776449588228,43.887115261913884,84.3662450487442,35.645636071950946,44961.93522004144,76.92338257709525
9,7.101557272672039,0,63824,1500,45.54218224425829,36.53414366312722,80.62904183476913,31.782432087852875,46619.66559041969,73.496152972842
9,10.085255394050177,0,79414,1500,64.6405157397065,52.238348785351306,87.85350412712125,32.1228793567835,63343.41998870712,81.5140411253586
5,7.946046718413227,0,61142,1153,55.09572397812439,30.535647186029276,69.68601165007384,30.371133284938274,50407.43883308225,79.74210025092489
7,9.62846020534077,0,50956,1500,60.14575632672773,36.74948906827348,64.73412282343938,27.53623242464243,34757.37798214062,67.88255162043846
7,7.584192925395359,0,58928,1500,56.55680070189468,37.835722036407226,79.71285086856241,32.09654425688939,43334.54796203826,70.9800713998168
8,5.555551750372328,1,54721,1500,67.62229566851707,73.19730465133908,83.96047572386627,34.940726750781906,37844.84485433309,69.58005925289392
7,11.537404459187513,0,56157,1500,83.14206508610339,60.329309778944136,116.21284653167744,34.605075356973046,40967.426950675035,74.85030645839515
1,6.952252073667292,0,51696,161,54.52971187147074,33.19179191414493,76.28010661803394,28.87221518305992,50087.39442965896,96.91653395756144
9,7.655984703945922,0,72862,1500,55.02362911499729,41.23222168226808,95.94866713648759,29.625279967729202,55898.82990276597,75.86493478117586
0,3.425364033562242,0,50190,0,46.353391541297164,28.79243514850086,65.32287736762558,29.63778271292781,50123.80081295077,100.0
9,7.882158683700041,0,49663,1500,52.86429928903388,40.48713723918514,79.32347668173824,29.857824489519384,33855.22048348872,68.78859788209674
1,7.287684144312382,0,49331,226,54.495300059383645,40.30257003098451,70.63109617126108,32.05563728161366,45737.10274373349,93.43914879970792
1,3.0332223774172746,0,73549,264,31.279514205082414,18.22321268585836,47.53307816287356,31.543483734296487,69903.54140381196,93.22108746700299
2,1.6554580708845807,0,61246,667,27.264628820462022,18.821422440235835,37.357217241808684,28.927880351828506,55375.467680621165,90.78005955837284
9,7.647952516862482,1,70761,1500,90.72034441964551,88.40297614010888,107.0520255333004,33.393977721957,54304.58227661913,77.01991360711747
6,9.400614962853526,0,48262,1500,64.74782169732443,37.755325959474085,79.24233845343825,31.07432382543351,33205.86664043904,70.22577978647719
1,6.75741508014209,0,52036,247,53.996044877286444,39.00166664257537,71.5050001982689,30.862567182454573,50314.38870930116,96.57808675621801
0,3.4944988785161026,1,67322,33,59.72055444084756,57.37679082105872,75.91293834624996,28.75315380285117,67322.0,100.0
5,8.331741743623384,0,64131,1241,55.627957975797926,38.874820146063314,65.62433091993722,31.454476997810815,53075.08324347506,82.88392021268622
8,1.8811629927056246,0,49677,1500,32.59725276484314,24.64912588281932,52.14267452597935,27.00977958094477,34392.94928028384,68.51602482011441
2,5.8601707528215,0,52972,458,47.2851345817543,41.15227010294137,60.202241802270606,32.04851698256341,48728.58041035125,90.48464310046697
5,2.797034342382622,0,60329,1217,30.226789936204053,21.053561831990756,51.51601551351893,28.394786992137657,48049.8314436253,78.87553985569187
2,3.029049561658717,1,65493,547,56.379026762875995,65.3274213709009,77.99441340621412,32.90117127410178,60001.669349491116,90.41691437950713
0,3.22523344074024,1,63595,12,65.95914760937595,62.80941057956714,93.02702969481832,29.495623744019372,63496.40792125787,99.61093737713178
4,5.253777627483757,0,66923,974,37.361561032506486,24.173012470820634,45.297745958433296,30.27133890622635,57309.38388425144,88.1648997122263
9,1.562652261824374,0,54735,1500,17.43243203027134,14.55093680458467,28.56280300585322,30.010078979781973,37269.61521487594,65.90204826926708
3,5.3757278502200805,0,79457,747,42.45326800624501,30.524331797999352,41.83627742402515,25.783747275821067,72191.87526441779,88.77290716261147
6,6.628781918261709,0,52727,1497,36.131446923665095,23.978337319256358,52.38580489395435,28.96385717260496,37556.33880530102,70.87595427012037
5,6.316237134629577,0,52764,1263,49.63656925500276,33.32354069575119,78.07623003930517,31.91587068138694,40445.640652183756,74.60947231157942
9,5.210625104433446,0,72599,1500,42.93784650587368,35.389670777785575,74.63618980374711,31.73863090452509,55636.859755107726,75.16294388199799
6,10.230612688778278,1,45818,1404,94.38904565071209,84.91856327138817,121.68524905380863,34.055713755870734,31058.459952503348,68.29533014772989
4,2.5985936166255454,1,78892,1065,56.682377290327544,55.594266820364886,65.79844392523061,29.232204876850123,68556.57145802093,86.82036351264095
3,6.562664181595114,0,50660,709,47.216716384643576,29.63219897221962,69.89713086276734,31.09829636085677,43869.816350640336,87.25432255725227
6,1.6824555865220971,0,74521,1492,19.46664104487378,16.306253274138108,41.6384414521609,29.03618317134003,59101.85272640411,80.19557741753717
6,1.7827124676570072,0,79470,1500,24.8364254757765,26.411587637893362,44.85562382688187,27.333640079785535,65525.36574697516,84.46684892143591
